,player,pos,nation,born
391,Kean Bryan,DF,ENG,1996
392,Lys Mousset,"FW,MF",FRA,1996
393,Max Lowe,DF,ENG,1997
394,Oliver Burke,FW,SCO,1997
395,Oliver McBurnie,FW,SCO,1996
396,Oliver Norwood,MF,NIR,1991
397,Phil Jagielka,DF,ENG,1982
398,Rhian Brewster,"FW,MF",ENG,2000
399,Sander Berge,MF,NOR,1998
400,Alex McCarthy,GK,ENG,1989
401,Alexandre Jankewitz,MF,SUI,2001
402,Allan Tchaptchet,DF,FRA,2001
403,Caleb Watts,MF,AUS,2002
404,Che Adams,FW,SCO,1996
405,Dan Nlundulu,"FW,MF",ENG,1999
406,Danny Ings,FW,ENG,1992
407,Fraser Forster,GK,ENG,1988
408,Ibrahima Diallo,MF,FRA,1999
409,Jack Stephens,DF,ENG,1994
410,Jake Vokins,DF,ENG,2000
411,James Ward-Prowse,MF,ENG,1994
412,Jan Bednarek,DF,POL,1996
413,Jannik Vestergaard,DF,DEN,1992
414,Kayne Ramsey,DF,ENG,2000
415,Kyle Walker-Peters,DF,ENG,1997
416,Michael Obafemi,FW,IRL,2000
417,Mohammed Salisu,DF,GHA,1999
418,Moussa Djenepo,MF,MLI,1998
419,Nathan Redmond,"MF,FW",ENG,1994
420,Nathan Tella,"FW,MF",NGA,1999
421,Oriol Romeu,MF,ESP,1991
422,Ryan Bertrand,DF,ENG,1989
423,Shane Long,FW,IRL,1987
424,Stuart Armstrong,MF,SCO,1992
425,Takumi Minamino,MF,JPN,1995
426,Theo Walcott,"MF,FW",ENG,1989
427,William Smallbone,MF,IRL,2000
428,Yan Valery,"DF,MF",TUN,1999
429,Ben Davies,DF,WAL,1993
430,Carlos Vinícius,FW,BRA,1995
431,Dane Scarlett,FW,ENG,2004
432,Davinson Sánchez,DF,COL,1996
433,Dele Alli,MF,ENG,1996
434,Eric Dier,DF,ENG,1994
435,Gareth Bale,FW,WAL,1989
436,Giovani Lo Celso,MF,ARG,1996
437,Harry Kane,FW,ENG,1993
438,Harry Winks,MF,ENG,1996
439,Hugo Lloris,GK,FRA,1986
440,Japhet Tanganga,DF,ENG,1999
441,Joe Rodon,DF,WAL,1997
442,Lucas Moura,"FW,MF",BRA,1992
443,Matt Doherty,DF,IRL,1992
444,Moussa Sissoko,MF,FRA,1989
445,Pierre Højbjerg,MF,DEN,1995
446,Serge Aurier,DF,CIV,1992
447,Sergio Reguilón,DF,ESP,1996
448,Son Heung-min,FW,KOR,1992
449,Steven Bergwijn,"FW,MF",NED,1997
450,Tanguy Ndombele,MF,FRA,1996
451,Toby Alderweireld,DF,BEL,1989
452,Érik Lamela,"FW,MF",ARG,1992
453,Ahmed Hegazi,DF,EGY,1991
454,Ainsley Maitland-Niles,MF,ENG,1997
455,Branislav Ivanović,DF,SRB,1984
456,Callum Robinson,"FW,MF",IRL,1995
457,Charlie Austin,"FW,MF",ENG,1989
458,Conor Gallagher,MF,ENG,2000
459,Conor Townsend,DF,ENG,1993
460,Dara O'Shea,DF,IRL,1999
461,Darnell Furlong,DF,ENG,1995
462,David Button,GK,ENG,1989
463,Filip Krovinović,MF,CRO,1995
464,Grady Diangana,"MF,FW",COD,1998
465,Hal Robson-Kanu,FW,WAL,1989
466,Jake Livermore,MF,ENG,1989
467,Kamil Grosicki,"MF,FW",POL,1988
468,Karlan Grant,"FW,MF",ENG,1997
469,Kieran Gibbs,DF,ENG,1989
470,Kyle Bartley,DF,ENG,1991
471,Kyle Edwards,"MF,FW",ENG,1998
472,Lee Peltier,DF,ENG,1986
473,Matheus Pereira,"MF,FW",BRA,1996
474,Matt Phillips,MF,SCO,1991
475,Mbaye Diagne,FW,SEN,1991
476,Okay Yokuşlu,MF,TUR,1994
477,Rekeem Harper,MF,ENG,2000
478,Robert Snodgrass,"MF,FW",SCO,1987
479,Romaine Sawyers,MF,SKN,1991
480,Sam Field,MF,ENG,1998
481,Sam Johnstone,GK,ENG,1993
482,Semi Ajayi,DF,NGA,1993
483,Aaron Cresswell,DF,ENG,1989
484,Andriy Yarmolenko,"FW,MF",UKR,1989
485,Angelo Ogbonna,DF,ITA,1988
486,Arthur Masuaku,"DF,MF",COD,1993
487,Ben Johnson,"DF,FW",ENG,2000
488,Craig Dawson,DF,ENG,1990
489,Darren Randolph,GK,IRL,1987
490,Declan Rice,MF,ENG,1999
491,Fabián Balbuena,DF,PAR,1991
492,Felipe Anderson,"FW,MF",BRA,1993
493,Issa Diop,DF,FRA,1997
494,Jarrod Bowen,"FW,MF",ENG,1996
495,Jesse Lingard,"MF,FW",ENG,1992
496,Manuel Lanzini,"MF,FW",ARG,1993
497,Mark Noble,MF,ENG,1987
498,Michail Antonio,FW,JAM,1990
499,Pablo Fornals,"FW,MF",ESP,1996
500,Robert Snodgrass,"FW,MF",SCO,1987
501,Ryan Fredericks,"DF,FW",ENG,1992
502,Saïd Benrahma,"FW,MF",ALG,1995
503,Sébastien Haller,FW,CIV,1994
504,Tomáš Souček,MF,CZE,1995
505,Vladimír Coufal,DF,CZE,1992
506,Łukasz Fabiański,GK,POL,1985
507,Adama Traoré,"FW,MF",ESP,1996
508,Conor Coady,DF,ENG,1993
509,Daniel Podence,"MF,FW",POR,1995
510,Fernando Marçal,"DF,MF",BRA,1989
511,Fábio Silva,FW,POR,2002
512,John Ruddy,GK,ENG,1986
513,Jonny Castro,"MF,DF",ESP,1994
514,João Moutinho,MF,POR,1986
515,Ki-Jana Hoever,"DF,MF",NED,2002
516,Leander Dendoncker,"MF,DF",BEL,1995
517,Max Kilman,DF,ENG,1997
518,Morgan Gibbs-White,"MF,FW",ENG,2000
519,Nélson Semedo,"DF,MF",POR,1993
520,Oskar Buur,DF,DEN,1998
521,Owen Otasowie,"MF,FW",USA,2001
522,Patrick Cutrone,FW,ITA,1998
523,Pedro Neto,"FW,MF",POR,2000
524,Rayan Aït-Nouri,DF,ALG,2001
525,Raúl Jiménez,FW,MEX,1991
526,Romain Saïss,DF,MAR,1990
527,Rui Patrício,GK,POR,1988
528,Rúben Neves,MF,POR,1997
529,Rúben Vinagre,"MF,DF",POR,1999
530,Theo Corbeanu,FW,CAN,2002
531,Vitinha,MF,POR,2000
532,Willian José,FW,BRA,1991
533,Willy Boly,DF,CIV,1991
536,Albert Sambi Lokonga,MF,BEL,1999
538,Ben White,DF,ENG,1997
545,Folarin Balogun,FW,USA,2001
547,Gabriel Martinelli,"FW,MF",BRA,2001
550,Martin Ødegaard,"MF,FW",NOR,1998
552,Nicolas Pépé,"FW,MF",CIV,1995
553,Nuno Tavares,DF,POR,2000
556,Reiss Nelson,FW,ENG,1999
559,Takehiro Tomiyasu,DF,JPN,1998
561,Anwar El Ghazi,"FW,MF",NED,1995
562,Ashley Young,"DF,FW",ENG,1985
564,Bertrand Traoré,"MF,FW",BFA,1995
566,Cameron Archer,"FW,MF",ENG,2001
570,Emi Buendía,"MF,FW",ARG,1996
575,Jed Steer,GK,ENG,1992
577,Keinan Davis,FW,ENG,1998
579,Leon Bailey,"FW,MF",JAM,1997
580,Lucas Digne,DF,FRA,1993
586,Philippe Coutinho,"MF,FW",BRA,1992
588,Tim Iroegbunam,MF,ENG,2003
592,Bryan Mbeumo,FW,CMR,1999
593,Charlie Goode,DF,ENG,1995
594,Christian Eriksen,MF,DEN,1992
595,Christian Nørgaard,MF,DEN,1994
596,David Raya,GK,ESP,1995
597,Dominic Thompson,DF,ENG,2000
598,Ethan Pinnock,DF,JAM,1993
599,Finley Stevens,DF,WAL,2003
600,Frank Onyeka,MF,NGA,1998
601,Ivan Toney,FW,ENG,1996
602,Jonas Lössl,GK,DEN,1989
603,Josh Dasilva,"MF,FW",ENG,1998
604,Kristoffer Ajer,DF,NOR,1998
605,Mads Bech Sørensen,DF,DEN,1999
606,Mads Bidstrup,MF,DEN,2001
607,Mads Roerslev,DF,DEN,1999
608,Marcus Forss,"FW,MF",FIN,1999
609,Mathias Jensen,MF,DEN,1996
610,Mathias Jørgensen,DF,DEN,1990
